date,open,high,low,close,adj_close,volume
2002-07-30,81.75,81.9000015258789,81.5199966430664,81.5199966430664,35.69188690185547,6100
2002-07-31,81.94999694824219,82.80000305175781,81.9000015258789,82.52999877929688,36.134098052978516,29400
2002-08-01,82.54000091552734,83.0199966430664,82.54000091552734,83.0,36.33987808227539,25000
2002-08-02,83.16000366210938,84.0999984741211,82.87999725341797,83.8499984741211,36.71202850341797,52800
2002-08-05,84.04000091552734,84.44000244140625,83.8499984741211,84.22000122070312,36.87405014038086,61100
2002-08-06,83.87000274658203,83.9000015258789,83.22000122070312,83.5,36.55879211425781,64900
2002-08-07,83.5999984741211,84.13999938964844,83.36000061035156,83.69999694824219,36.6463737487793,40300
2002-08-08,83.58000183105469,83.7699966430664,83.36000061035156,83.69999694824219,36.6463737487793,40900
2002-08-09,84.0,84.87999725341797,84.0,84.87999725341797,37.16303253173828,35900
2002-08-12,85.30000305175781,86.69999694824219,85.13999938964844,85.4000015258789,37.390655517578125,32100
2002-08-13,85.77999877929688,86.47000122070312,85.37000274658203,86.44999694824219,37.85040283203125,75400
2002-08-14,87.45999908447266,87.9000015258789,86.75,86.77999877929688,37.994873046875,130000
2002-08-15,86.37999725341797,86.5,85.8499984741211,86.0199966430664,37.66214370727539,87100
2002-08-16,86.44000244140625,86.5199966430664,84.81999969482422,85.05999755859375,37.2418327331543,85000
2002-08-19,85.05000305175781,85.33999633789062,84.70999908447266,85.31999969482422,37.35566711425781,47300
2002-08-20,85.62000274658203,86.29000091552734,85.5999984741211,86.2699966430664,37.77156066894531,40800
2002-08-21,85.68000030517578,86.0999984741211,85.62999725341797,85.80999755859375,37.5702018737793,40000
2002-08-22,85.55000305175781,85.55000305175781,85.05999755859375,85.05999755859375,37.2418327331543,34400
2002-08-23,85.19999694824219,85.94999694824219,85.19999694824219,85.9000015258789,37.6096076965332,20100
2002-08-26,85.69999694824219,86.20999908447266,85.66999816894531,85.9800033569336,37.64460372924805,23900
2002-08-27,85.4000015258789,85.68000030517578,85.19999694824219,85.44000244140625,37.40816879272461,301800
